model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_grid_1_AutoML_1_20240830_174212_model_9,0.7853624585073348,0.288289994293702,0.7382204020432529,0.1871185351750723,0.2696107052233373,0.0726899323710253
GBM_grid_1_AutoML_1_20240830_174212_model_64,0.7849876860477567,0.3005101605190033,0.7449469208956194,0.1893939393939394,0.2697339060012376,0.0727563800466845
DRF_1_AutoML_1_20240830_174212,0.7826052039832958,0.7414575653006747,0.7307688354164721,0.2045454545454545,0.281060211354928,0.0789948424068768
DeepLearning_grid_1_AutoML_1_20240830_174212_model_24,0.7756719134811008,0.9000618023426539,0.5596447039064506,0.2956954706071313,0.3652398080123926,0.1334001173569294
GBM_grid_1_AutoML_1_20240830_174212_model_10,0.7747082128707571,0.2923914720757142,0.7298025118821825,0.1893939393939394,0.2698832520702029,0.0728369697479887
StackedEnsemble_AllModels_6_AutoML_1_20240830_174212,0.7709872577363743,0.3331312096459347,0.7097922984963886,0.2133793768069386,0.294283803009687,0.0866029567138442
DeepLearning_grid_1_AutoML_1_20240830_174212_model_25,0.7694078595138666,1.4027187516861437,0.5796095918042328,0.2802762608416319,0.3746942047494909,0.1403957470728534
StackedEnsemble_AllModels_3_AutoML_1_20240830_174212,0.7659278295320698,0.3230731496094119,0.7312349824636647,0.192927508298533,0.2861705682907085,0.081893594155827
DeepLearning_grid_3_AutoML_1_20240830_174212_model_5,0.7630099582396402,1.7428092643190205,0.5225084113546974,0.30958882107292,0.4042411410194619,0.1634109000927165
DeepLearning_grid_2_AutoML_1_20240830_174212_model_7,0.7596637755648357,0.9050662880409795,0.5479104506478342,0.3189313631009744,0.3957976474899344,0.1566557777585664
DeepLearning_grid_1_AutoML_1_20240830_174212_model_4,0.7588071528000857,0.9027949389381524,0.6040435969363684,0.2613502516329372,0.3408060098041999,0.1161487363186604
StackedEnsemble_AllModels_4_AutoML_1_20240830_174212,0.7578166827283436,0.325575903789508,0.7225542255538445,0.2045454545454545,0.2882366417827811,0.0830803616662153
DeepLearning_grid_1_AutoML_1_20240830_174212_model_28,0.7568797515793982,0.7033436967296492,0.5563505320951735,0.3073134168540529,0.3642286905274707,0.132662539003356
DeepLearning_grid_1_AutoML_1_20240830_174212_model_11,0.7568262126566013,0.8549485945947455,0.5801922759436557,0.2833012099796552,0.3593526140992374,0.1291343012599554
